,d,d err,v far,err,v near,err,v combined,err,
82,126,2,2.16,0.05,2.12,0.05,3.30,0.05,
102,146,2,1.94,0.05,1.92,0.05,3.14,0.05,
122,166,2,1.48,0.05,1.4,0.05,2.12,0.05,
142,186,2,1.96,0.05,1.88,0.05,2.72,0.05,
162,206,2,1.76,0.05,1.72,0.05,2.24,0.05,
182,226,2,1.62,0.05,1.64,0.05,1.88,0.05,
202,246,2,1.74,0.05,1.76,0.05,1.84,0.05,
222,266,2,1.78,0.05,1.74,0.05,1.60,0.05,
242,286,2,1.76,0.05,1.78,0.05,1.34,0.05,
262,306,2,1.72,0.05,1.68,0.05,1.06,0.05,
282,326,2,1.64,0.05,1.60,0.05,0.72,0.05,
302,346,2,1.60,0.05,1.60,0.05,0.48,0.05,
322,366,2,1.60,0.05,1.60,0.05,0.20,0.05,
342,386,2,1.50,0.05,1.54,0.05,0.24,0.05,
362,406,2,1.48,0.05,1.46,0.05,0.42,0.05,
382,426,2,1.42,0.05,1.40,0.05,0.62,0.05,
402,446,2,1.42,0.05,1.42,0.05,0.84,0.05,
422,466,2,1.38,0.05,1.34,0.05,0.94,0.05,
442,486,2,1.46,0.05,1.40,0.05,1.22,0.05,
462,506,2,1.10,0.05,1.10,0.05,1.16,0.05,
482,526,2,1.14,0.05,1.12,0.05,1.34,0.05,
502,546,2,1.16,0.05,1.12,0.05,1.50,0.05,
522,566,2,,,,,,,
542,586,2,,,,,,,
562,606,2,,,,,,,
582,626,2,,,,,,,
602,646,2,,,,,,,
622,666,2,,,,,,,
642,686,2,,,,,,,
662,706,2,,,,,,,
682,726,2,,,,,,,
702,746,2,,,,,,,
722,766,,,,,,,,
742,786,,,,,,,,
762,806,,,,,,,,
782,826,,,,,,,,
802,846,,,,,,,,
822,866,,,,,,,,
842,886,,,,,,,,
862,906,,,,,,,,
882,926,,,,,,,,
902,946,,,,,,,,
922,966,,,,,,,,
942,986,,,,,,,,
962,1006,,,,,,,,
982,1026,,,,,,,,
1002,1046,,,,,,,,
1022,1066,,,,,,,,
1042,1086,,,,,,,,
1062,1106,,,,,,,,
1082,1126,,,,,,,,
1102,1146,,,,,,,,
1122,1166,,,,,,,,
1142,1186,,,,,,,,
1162,1206,,,,,,,,
1182,1226,,,,,,,,